RegionID,city_state,latitude,longitude
28641,"Grady, AL",31.994871,-86.20107
48841,"Brundidge, AL",31.720161,-85.816055
13434,"Ranburne, AL",33.52289,-85.34467
44795,"Crane Hill, AL",34.09399,-87.063065
8354,"Columbia, AL",31.292812,-85.11154
14502,"Waverly, AL",32.73541,-85.57912
7807,"Webb, AL",31.260454,-85.27326
8110,"Castleberry, AL",31.29906,-87.02247
41511,"Vina, AL",34.377224,-88.05709
18123,"Flomaton, AL",31.000181,-87.26081
56324,"Riverside, AL",33.602753,-86.20697
10989,"Creola, AL",30.891851,-88.03972
23564,"Axis, AL",30.930977,-88.01823
53269,"Mentone, AL",34.57953,-85.59052
39521,"Louisville, AL",31.783875,-85.55519
17430,"Childersburg, AL",33.278168,-86.35498
9754,"Stockton, AL",30.990587,-87.86062
32318,"Kinsey, AL",31.299063,-85.344376
24145,"Coden, AL",30.382977,-88.238335
17505,"Coffee Springs, AL",31.169012,-85.911
48351,"Waterloo, AL",34.918144,-88.0642
28658,"Ider, AL",34.71425,-85.6808
38837,"Hackleburg, AL",34.27761,-87.82842
43396,"Anderson, AL",34.92477,-87.26871
12177,"Kennedy, AL",33.587067,-87.98445
51002,"Billingsley, AL",32.659576,-86.71776
32247,"Joppa, AL",34.29959,-86.55127
49202,"Hurtsboro, AL",32.241814,-85.416336
20492,"Silas, AL",31.765434,-88.329185
51456,"Clio, AL",31.708775,-85.6105
44780,"Courtland, AL",34.66898,-87.30946
44007,"Baileyton, AL",34.262318,-86.61277
47142,"Pittsview, AL",32.188206,-85.16327
18338,"Goshen, AL",31.722935,-86.118286
24356,"Delta, AL",33.441444,-85.675125
3489,"Autaugaville, AL",32.434025,-86.6547
43024,"Uriah, AL",31.307434,-87.499214
5677,"Logan, AL",34.138157,-87.00639
4043,"Chancellor, AL",31.181564,-85.87716
54049,"Ralph, AL",33.04207,-87.7689
106333,"Priceville, AL",34.525093,-86.89473
104163,"Fairview, AL",34.255375,-86.68805
32430,"Lapine, AL",31.965706,-86.28441
50321,"Red Level, AL",31.40711,-86.61218
18636,"Houston, AL",31.135561,-85.26546
396610,"Colony, AL",33.945656,-86.901665
41159,"Sylvania, AL",34.56231,-85.81247
29096,"Newville, AL",31.421549,-85.33731
37572,"Brierfield, AL",33.03901,-86.90888
9189,"Spruce Pine, AL",34.391956,-87.731865
28933,"Randolph, AL",33.265175,-85.4694
55578,"Addison, AL",34.202324,-87.181404
11655,"Gordon, AL",31.141293,-85.096596
38100,"Cuba, AL",32.427517,-88.376076
104456,"Good Hope, AL",34.115932,-86.86361
18112,"Five Points, AL",33.018177,-85.35023
11812,"Harpersville, AL",33.343998,-86.438034
35642,"Groveoak, AL",33.786667,-118.38391
7308,"Sumiton, AL",33.75542,-87.050415
105205,"Lipscomb, AL",33.425663,-86.92666
37014,"Dawson, AL",34.30398,-85.92609
19525,"Muscadine, AL",33.73455,-85.38606
33984,"Shorter, AL",32.394863,-85.9169
33631,"Repton, AL",31.409056,-87.23915
20365,"Sardis City, AL",34.174263,-86.12276
55959,"Jack, AL",31.57405,-86.00023
38573,"Fort Deposit, AL",31.984592,-86.57858
396302,"Plantersville, AL",33.36983,-86.23581
28170,"Cowarts, AL",31.200333,-85.30475
396301,"Sardis, AL",31.67988,-86.50664
19167,"Malvern, AL",31.139343,-85.519104
13128,"Orrville, AL",32.30625,-87.24555
22147,"Jones, AL",32.584023,-86.89749
39035,"Honoraville, AL",31.8506,-86.40606
6720,"Rehobeth, AL",31.123072,-85.454414
24409,"Dora, AL",33.728695,-87.090416
52200,"Geraldine, AL",34.35148,-86.00081
28315,"Cusseta, AL",32.78485,-85.30578
36007,"McKenzie, AL",31.542383,-86.71497
54686,"Thomasville, AL",31.913486,-87.73584
396600,"Selmont-West Selmont, AL",32.38094,-87.01216
10284,"Bayou La Batre, AL",30.403051,-88.24869
24205,"Coosada, AL",32.497913,-86.33136
17858,"East Brewton, AL",31.093233,-87.062744
105660,"Mount Hope, AL",34.458427,-87.48169
24560,"Eldridge, AL",33.922882,-87.61724
15192,"Hillsboro, AL",34.63926,-87.19168
39412,"Lester, AL",34.99064,-87.15334
105850,"North Courtland, AL",34.679302,-87.30825
39414,"Level Plains, AL",31.299616,-85.77799
8788,"Lower Peach Tree, AL",31.840708,-87.54527
17997,"Equality, AL",32.767742,-86.11016
45277,"Fitzpatrick, AL",32.209473,-85.88133
3460,"Ashford, AL",31.183832,-85.23585
40895,"Shorterville, AL",31.57017,-85.10132
52157,"Gallant, AL",34.00126,-86.232864
12767,"Minter, AL",32.077923,-86.9936
32052,"Hodges, AL",34.327255,-87.92687
5674,"Locust Fork, AL",33.9076,-86.615265
11833,"Hatchechubbee, AL",32.270702,-85.27577
